"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02 16:00:02.000,00:00:32,Short,188840265,4922747,21140
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01 16:00:01.000,00:10:20,Normal,123173426,2444350,47230
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29 16:00:01.000,00:00:19,Short,402471425,5479258,14779
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25 16:00:02.000,00:01:07,Normal,287926286,6777790,20909
"7qY-qalCI2Y","Grab The Rolex, Keep It!",2025-05-21 15:59:50.000,00:00:23,Short,266758615,3614860,11051
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16 16:00:01.000,00:00:36,Short,925357743,9715748,33698
wSh8fAFWEWs,Survivor vs Beast Games,2026-01-16 19:00:01.000,00:00:28,Short,37865599,892583,14546
ywIcdSNJolo,Pass the Phone,2026-01-09 19:00:05.000,00:00:23,Short,113395686,2136214,14100
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07 16:00:00.000,00:00:34,Short,161972700,3676741,13681
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04 16:00:07.000,00:03:14,Normal,64733995,3755339,115959
"686PL7rt654",World’s Fastest Dinner Date,2025-10-03 16:00:03.000,00:00:34,Short,366945651,4395761,16180
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2025-09-26 18:00:07.000,00:00:42,Short,99995738,2623808,9584
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,2025-09-23 16:00:07.000,00:00:40,Short,864028562,13273133,69734
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20 16:00:01.000,00:00:24,Short,177750171,2590084,7774
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19 16:00:01.000,00:33:03,Normal,173452655,3682602,49516
mktYW177p6U,Guess the Animal,2026-01-06 17:00:02.000,00:00:53,Short,521229252,6315965,20546
"7aE4EhHXzlA",I Paid Everyone Stuck in Traffic,2025-12-26 17:00:05.000,00:00:27,Short,100855059,2809396,41321
IJkB-oapuks,"Giving Away $1,000,000 in Gifts To My Subscribers",2025-12-21 17:00:01.000,00:00:19,Short,1221852344,8490210,193206
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30 16:00:11.000,00:17:18,Normal,183702561,3032130,39086
uZY9xr-QAk0,"Flip a Coin, I’ll Pay For Your College",2025-11-28 17:00:01.000,00:00:34,Short,358353916,6236350,31220
tAwzBYE18Us,How I Became MrBeef,2025-11-16 20:00:02.000,00:00:46,Short,43048701,1572923,19661
oBXSvS2QKxU,"100 Kids Vs World's Strongest Man!",2025-10-11 16:00:00.000,00:27:21,Normal,186922044,2939200,53445
UTdcX1e0cMA,"Jump Over The Lava, Win!",2025-10-10 16:00:01.000,00:01:03,Normal,98420424,2488091,13443
"9Xeepzg1B8I",Which Celebrity Punches The Hardest?,2025-09-19 16:00:03.000,00:00:47,Short,207765328,3790553,11353
"50G0kIty7Cg","Answer The Call, Win $10,000",2025-09-16 17:00:04.000,00:00:39,Short,1267703476,12016972,36354
"4l97aNza_Zc","Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13 16:00:01.000,00:37:04,Normal,245009834,4247552,71014
"3ih2bPKSWsQ",I Arrested IShowSpeed,2025-09-12 17:00:01.000,00:00:35,Short,118512068,2905826,8309
uA9Zcg3vHvo,I Raced IShowSpeed,2025-09-01 20:45:41.000,00:00:47,Short,635424156,9922741,13253
MOGW3v3pJ5Y,"1 Subscriber = 1 Penny Donated",2025-08-29 16:00:10.000,00:00:18,Short,671994287,23939550,34393
XNtTO_339kU,"Pick The Wrong Tube, Get Slimed",2025-08-27 16:00:02.000,00:00:36,Short,176587262,3575843,10603
rB9NynBZ4go,Reaction Time Challenge,2025-08-19 16:00:02.000,00:00:29,Short,188432352,2506039,11555
